0,5001
1,4683
2,4664
3,4261
4,4002
5,3935
6,3637
7,3499
8,3371
9,3204
10,3084
11,2960
12,2658
13,2558
14,2486
15,2349
16,2195
17,2058
18,2013
19,1801
20,1770
21,1646
22,1541
23,1537
24,1423
25,1326
26,1321
27,1251
28,1172
29,1129
30,1126
31,1055
32,929
33,926
34,830
35,841
36,805
37,733
38,680
39,691
40,681
41,605
42,588
43,532
44,537
45,481
46,468
47,457
48,454
49,386
50,366
51,340
52,351
53,342
54,306
55,315
56,315
57,270
58,240
59,249
60,223
61,188
62,256
63,187
64,162
65,195
66,158
67,165
68,151
69,134
70,140
71,137
72,141
73,123
74,133
75,107
76,91
77,97
78,84
79,83
80,94
81,63
82,55
83,51
84,76
85,58
86,57
87,57
88,50
89,51
90,52
91,54
92,45
93,39
94,35
95,40
96,42
97,44
98,35
99,36
100,32
